frame_num,face_id,x_min,y_min,x_max,y_max,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,yaw,pitch,roll
56,5.0,2472.0,694.0,2655.0,897.0,2532.54,790.28,2564.85,798.37,2532.99,817.77,2531.03,836.25,2555.64,842.05,47.43997192382813,-2.6776885986328125,9.085441589355467
57,4.0,2472.0,694.0,2655.0,897.0,2532.62,790.02,2564.95,798.5,2532.99,817.81,2530.93,836.0,2555.62,842.1,46.32875061035156,-2.2490997314453125,9.444549560546877
58,5.0,2472.0,695.0,2655.0,897.0,2532.42,790.31,2564.55,798.53,2532.78,817.87,2530.89,836.1,2555.41,841.99,47.06936645507813,-2.5810546875,9.22637939453125
59,5.0,2472.0,695.0,2655.0,897.0,2532.49,790.0,2564.44,798.36,2532.62,817.55,2530.91,835.98,2555.35,841.97,46.66119384765625,-2.131866455078125,9.329971313476562
60,5.0,2471.0,694.0,2654.0,897.0,2532.18,789.57,2564.07,797.88,2532.28,817.01,2530.55,836.12,2554.76,842.09,47.34391784667969,-2.3073883056640625,9.512588500976562
61,3.0,2471.0,695.0,2654.0,897.0,2531.73,789.79,2563.67,797.7,2532.08,816.9,2530.24,836.33,2554.54,842.01,48.40335083007813,-2.502159118652344,9.096839904785156
62,5.0,2470.0,695.0,2655.0,897.0,2531.9,789.57,2563.28,797.55,2531.04,815.36,2529.69,836.24,2553.32,841.77,48.00840759277344,-2.4725494384765625,9.244476318359377
63,3.0,2470.0,695.0,2654.0,897.0,2531.72,789.64,2563.01,797.33,2531.12,815.36,2529.84,836.31,2553.2,841.63,49.04373168945313,-1.8641204833984373,9.019866943359377
64,5.0,2470.0,695.0,2654.0,897.0,2531.79,789.71,2562.63,797.39,2530.72,815.2,2529.68,836.32,2552.79,841.61,49.88568115234375,-2.28216552734375,8.996017456054688
65,3.0,2470.0,695.0,2654.0,897.0,2531.27,789.99,2562.21,797.31,2530.66,815.31,2529.63,836.45,2552.79,841.47,49.27043151855469,-1.949134826660156,9.088348388671877
66,4.0,2470.0,696.0,2653.0,897.0,2530.83,790.3,2561.65,797.36,2530.48,815.51,2529.53,836.78,2552.35,841.6,49.93582153320313,-2.344573974609375,8.926666259765625
67,4.0,2470.0,696.0,2653.0,897.0,2530.47,790.82,2561.5,798.05,2530.37,815.96,2529.08,836.9,2552.16,841.86,50.19490051269531,-2.60247802734375,8.486175537109375
68,4.0,2470.0,696.0,2653.0,897.0,2530.25,791.16,2561.35,798.25,2530.19,816.34,2528.99,837.21,2552.08,842.05,49.64361572265625,-2.5053863525390625,8.556777954101562
69,4.0,2470.0,696.0,2653.0,897.0,2530.29,791.13,2561.5,798.41,2530.31,816.45,2528.95,837.09,2552.18,842.08,49.0555419921875,-2.280921936035156,8.679275512695312
70,4.0,2469.0,696.0,2653.0,897.0,2529.97,791.49,2561.51,798.64,2530.35,816.83,2528.82,837.41,2552.23,842.29,50.54240417480469,-2.9149322509765625,7.7987823486328125
71,4.0,2469.0,696.0,2653.0,897.0,2530.23,791.34,2561.44,798.64,2530.33,816.56,2528.86,837.09,2552.13,842.1,50.79852294921875,-3.10260009765625,7.5169830322265625
72,4.0,2469.0,696.0,2653.0,897.0,2529.87,791.6,2561.24,798.74,2530.17,816.66,2528.58,837.27,2551.98,842.14,50.480224609375,-2.790985107421875,7.814361572265625
73,4.0,2469.0,697.0,2653.0,897.0,2529.72,791.57,2561.0,798.72,2529.93,816.66,2528.53,837.13,2552.0,841.99,51.77799987792969,-3.481170654296875,6.6582183837890625
74,4.0,2469.0,697.0,2653.0,897.0,2529.77,791.7,2560.96,798.76,2529.97,816.8,2528.58,837.28,2551.96,842.08,51.99360656738281,-3.5797576904296875,6.5370025634765625
75,3.0,2469.0,697.0,2652.0,897.0,2529.62,791.72,2560.73,798.94,2529.76,816.92,2528.38,837.19,2551.71,842.1,52.02140808105469,-3.5997772216796875,6.753326416015625
76,3.0,2469.0,697.0,2652.0,897.0,2529.66,792.0,2560.74,799.23,2529.89,817.22,2528.43,837.34,2551.74,842.27,52.3052978515625,-3.99224853515625,6.3402862548828125
77,4.0,2469.0,696.0,2652.0,897.0,2529.62,792.22,2560.62,799.3,2529.95,817.55,2528.56,836.93,2552.27,841.76,51.83253479003906,-3.5352325439453125,6.727935791015625
78,5.0,2469.0,697.0,2652.0,897.0,2529.33,792.39,2560.42,799.46,2529.79,817.68,2528.24,837.08,2552.14,841.89,52.19956970214844,-3.4103469848632812,6.4095916748046875
79,5.0,2469.0,697.0,2653.0,897.0,2529.46,792.55,2560.54,799.47,2529.86,817.8,2528.44,837.37,2552.45,842.06,51.17607116699219,-3.009674072265625,6.8915557861328125
80,5.0,2469.0,696.0,2653.0,898.0,2529.43,792.65,2560.6,799.59,2529.82,818.03,2528.37,837.69,2552.37,842.41,50.44342041015625,-2.9208984375,6.602806091308594
81,5.0,2469.0,696.0,2653.0,898.0,2529.49,792.78,2560.64,799.6,2529.82,818.16,2528.63,837.84,2552.68,842.47,50.66688537597656,-3.2463836669921875,6.368476867675781
82,5.0,2469.0,696.0,2653.0,898.0,2529.56,792.76,2560.77,799.87,2529.82,818.26,2528.46,837.89,2552.46,842.74,51.44261169433594,-3.4866943359375,6.2227630615234375
83,5.0,2469.0,697.0,2653.0,899.0,2529.53,793.16,2560.83,800.32,2529.8,818.78,2528.39,838.43,2552.46,843.32,52.29043579101562,-4.271995544433594,5.3974456787109375
84,7.0,2469.0,697.0,2654.0,899.0,2529.7,793.82,2560.93,800.94,2529.86,819.13,2528.45,838.98,2552.28,843.82,51.97439575195313,-4.3014678955078125,5.377456665039063
85,7.0,2469.0,697.0,2654.0,899.0,2529.73,794.11,2560.75,801.53,2529.78,819.82,2528.5,839.36,2552.06,844.43,52.26309204101562,-4.7105560302734375,5.3060302734375
86,8.0,2469.0,698.0,2652.0,900.0,2529.0,793.87,2560.13,801.88,2528.34,820.27,2527.72,839.73,2551.01,845.3,51.77706909179688,-4.99627685546875,5.55792236328125
87,7.0,2469.0,699.0,2652.0,901.0,2529.31,794.88,2559.72,802.62,2528.18,821.03,2528.24,840.48,2551.19,845.81,49.29177856445313,-4.292701721191406,7.4665374755859375
88,7.0,2469.0,699.0,2652.0,901.0,2529.29,795.0,2560.36,803.11,2528.57,821.4,2528.06,840.65,2551.55,846.27,49.05941772460938,-4.430595397949219,7.441520690917969
89,6.0,2469.0,699.0,2652.0,901.0,2529.35,795.2,2560.27,803.35,2528.61,821.47,2528.04,840.62,2551.36,846.28,49.72254943847656,-4.350677490234375,7.0730133056640625
90,6.0,2470.0,699.0,2652.0,901.0,2529.77,795.96,2559.88,803.86,2528.64,821.9,2528.54,840.7,2551.41,846.15,49.24717712402344,-4.283866882324219,7.221382141113281
91,5.0,2470.0,699.0,2652.0,902.0,2529.9,796.07,2560.1,804.24,2528.73,822.15,2528.61,840.91,2551.55,846.58,49.39773559570313,-4.470039367675781,7.0147247314453125
92,5.0,2469.0,700.0,2652.0,902.0,2529.58,796.31,2560.1,804.63,2528.62,822.68,2528.32,841.36,2551.49,847.15,49.08514404296875,-4.345062255859375,7.544952392578125
93,5.0,2469.0,700.0,2652.0,902.0,2529.74,796.97,2560.33,805.23,2528.91,823.09,2528.45,841.67,2551.67,847.4,49.20745849609375,-5.2630615234375,7.443672180175781
94,5.0,2469.0,701.0,2652.0,903.0,2529.59,797.01,2560.53,805.39,2529.02,823.21,2528.24,841.44,2552.11,847.27,48.64334106445313,-5.931678771972656,7.9588165283203125
95,6.0,2470.0,701.0,2653.0,903.0,2529.92,797.39,2560.42,805.71,2528.99,823.59,2528.76,842.09,2551.93,847.86,48.73495483398438,-4.931877136230469,7.673309326171875
96,7.0,2469.0,701.0,2653.0,903.0,2529.89,797.57,2560.34,805.84,2528.92,823.77,2528.79,842.41,2551.94,848.12,49.17367553710938,-6.0459747314453125,7.105247497558594
97,7.0,2470.0,701.0,2653.0,903.0,2530.07,797.71,2560.55,806.0,2529.14,823.85,2528.94,842.64,2551.89,848.36,48.5753173828125,-5.295196533203125,7.746063232421875
98,8.0,2469.0,701.0,2653.0,904.0,2529.65,798.09,2560.62,806.3,2529.18,824.13,2528.73,842.83,2552.17,848.51,49.91194152832031,-5.291763305664063,7.946342468261719
99,9.0,2469.0,701.0,2653.0,903.0,2529.53,798.11,2560.5,806.28,2529.01,824.05,2528.45,842.53,2552.16,848.19,49.59271240234375,-5.0672607421875,7.029762268066406
100,8.0,2469.0,701.0,2653.0,903.0,2529.39,798.04,2560.55,806.32,2528.91,824.07,2528.32,842.55,2552.12,848.29,49.19094848632813,-4.99609375,7.221466064453125
101,9.0,2469.0,701.0,2653.0,903.0,2529.55,798.06,2560.74,806.34,2529.12,823.99,2528.45,842.78,2551.98,848.52,50.31060791015625,-4.7587432861328125,7.6255340576171875
102,9.0,2469.0,701.0,2653.0,903.0,2529.79,797.85,2560.93,806.19,2529.4,823.8,2528.62,842.48,2552.09,848.26,50.25825500488281,-4.721343994140625,7.7137298583984375
103,9.0,2469.0,701.0,2653.0,903.0,2529.88,797.87,2561.05,806.48,2529.37,823.98,2528.55,842.56,2551.97,848.54,50.41093444824219,-4.809844970703125,7.59979248046875
104,8.0,2469.0,701.0,2653.0,903.0,2529.93,797.87,2561.07,806.41,2529.43,823.98,2528.65,842.64,2552.06,848.57,50.16543579101562,-5.021987915039063,7.8022918701171875
105,8.0,2469.0,701.0,2653.0,903.0,2529.86,798.08,2560.93,806.53,2529.35,824.13,2528.68,842.79,2552.03,848.65,50.09977722167969,-4.8835296630859375,7.8057861328125
106,8.0,2469.0,701.0,2653.0,903.0,2529.81,798.08,2561.03,806.49,2529.47,824.12,2528.63,842.72,2552.17,848.55,50.26095581054688,-5.0997467041015625,7.508720397949219
107,8.0,2469.0,701.0,2653.0,904.0,2529.8,797.97,2561.12,806.49,2529.5,824.16,2528.54,842.59,2552.31,848.51,49.27578735351562,-5.1203460693359375,8.464828491210938
108,8.0,2469.0,702.0,2653.0,904.0,2529.44,798.37,2561.09,806.67,2529.49,824.42,2528.48,843.0,2552.42,848.75,51.58013916015625,-6.402397155761719,6.6271820068359375
109,8.0,2469.0,701.0,2653.0,904.0,2529.47,798.31,2561.16,806.65,2529.54,824.41,2528.5,842.95,2552.45,848.74,51.692138671875,-6.591522216796875,6.7762298583984375
110,8.0,2469.0,702.0,2653.0,904.0,2529.34,798.43,2561.13,806.76,2529.49,824.42,2528.36,843.0,2552.42,848.78,51.59642028808594,-6.235260009765625,6.5773773193359375
111,8.0,2469.0,702.0,2653.0,904.0,2529.39,798.4,2561.11,806.75,2529.47,824.41,2528.38,843.02,2552.33,848.82,51.75050354003906,-6.2811279296875,6.498619079589844
112,8.0,2469.0,702.0,2653.0,904.0,2529.26,798.46,2561.01,806.77,2529.3,824.48,2528.34,843.13,2552.35,848.9,51.18746948242188,-6.590629577636719,6.3382568359375
113,8.0,2469.0,702.0,2653.0,904.0,2529.03,798.4,2560.98,806.71,2529.28,824.42,2528.17,843.26,2552.21,849.03,50.81991577148438,-6.333404541015625,6.4512939453125
114,8.0,2469.0,702.0,2653.0,904.0,2529.01,798.62,2561.02,806.82,2529.39,824.47,2528.2,843.37,2552.19,849.05,50.73811340332031,-6.221954345703125,6.618095397949219
115,7.0,2469.0,702.0,2653.0,904.0,2528.85,798.63,2561.14,807.01,2529.36,824.65,2528.04,843.42,2552.21,849.25,50.40043640136719,-6.232696533203125,6.6218109130859375
116,7.0,2469.0,702.0,2653.0,904.0,2528.86,798.69,2560.96,806.91,2529.25,824.59,2528.11,843.41,2552.25,849.12,50.35981750488281,-6.181678771972656,6.6335296630859375
117,9.0,2469.0,702.0,2653.0,904.0,2528.84,798.6,2560.94,806.81,2529.24,824.61,2528.18,843.52,2552.24,849.22,50.23336791992188,-6.556182861328125,6.3493499755859375
118,7.0,2469.0,702.0,2653.0,904.0,2528.78,798.64,2560.9,806.74,2529.21,824.49,2528.1,843.35,2552.34,848.95,50.20616149902344,-6.5975341796875,6.5730743408203125
119,8.0,2469.0,702.0,2653.0,904.0,2528.65,798.59,2560.99,806.72,2529.19,824.56,2527.93,843.43,2552.33,849.07,50.5701904296875,-6.5830078125,6.47967529296875
120,8.0,2469.0,702.0,2653.0,904.0,2528.78,798.56,2561.17,806.61,2529.4,824.49,2528.09,843.62,2552.27,849.2,50.41815185546875,-6.556114196777344,6.5501708984375
121,8.0,2469.0,702.0,2653.0,904.0,2528.63,798.65,2561.08,806.67,2529.31,824.64,2528.06,843.71,2552.27,849.27,50.87167358398438,-6.504814147949219,6.231880187988281
122,8.0,2469.0,702.0,2653.0,904.0,2528.57,798.52,2561.13,806.62,2529.35,824.59,2527.98,843.58,2552.34,849.2,50.59921264648438,-6.5979461669921875,6.436370849609375
123,7.0,2468.0,702.0,2653.0,904.0,2528.45,798.43,2561.08,806.54,2529.26,824.57,2527.9,843.59,2552.29,849.21,50.34901428222656,-6.525444030761719,7.411407470703125
124,8.0,2468.0,702.0,2653.0,904.0,2528.33,798.46,2561.09,806.54,2529.23,824.49,2527.72,843.51,2552.23,849.13,50.15138244628906,-6.45928955078125,7.5772552490234375
125,8.0,2468.0,702.0,2653.0,904.0,2528.46,798.38,2561.02,806.49,2529.22,824.53,2527.89,843.58,2552.19,849.21,50.26936340332031,-6.6231231689453125,7.5279541015625
126,6.0,2469.0,702.0,2653.0,904.0,2528.51,798.43,2560.94,806.4,2529.16,824.41,2527.92,843.54,2552.13,849.06,50.62396240234375,-6.87353515625,6.42864990234375
127,6.0,2468.0,702.0,2653.0,904.0,2528.47,798.44,2560.87,806.41,2529.08,824.4,2527.88,843.6,2552.08,849.11,50.440673828125,-6.5342864990234375,7.6763763427734375
128,6.0,2469.0,702.0,2653.0,904.0,2528.51,798.46,2560.84,806.44,2529.08,824.41,2527.91,843.51,2552.16,849.03,50.184814453125,-6.677803039550781,6.7701263427734375
129,6.0,2469.0,702.0,2653.0,904.0,2528.43,798.37,2560.71,806.49,2529.0,824.54,2527.88,843.36,2552.21,848.98,50.69975280761719,-6.9975128173828125,6.435394287109375
130,6.0,2468.0,702.0,2653.0,904.0,2528.04,798.21,2560.57,806.38,2528.66,824.68,2527.6,843.32,2552.32,848.97,50.38690185546875,-6.61260986328125,6.72509765625
131,6.0,2468.0,702.0,2653.0,905.0,2528.14,798.16,2560.43,806.37,2528.46,824.69,2527.59,843.45,2552.13,849.12,50.73004150390625,-6.5706024169921875,6.317352294921875
132,7.0,2468.0,702.0,2652.0,905.0,2528.17,798.73,2560.36,806.65,2528.63,825.05,2527.93,843.81,2552.45,849.25,49.63409423828125,-6.9858245849609375,6.547149658203125
133,7.0,2469.0,702.0,2653.0,905.0,2528.36,798.79,2560.29,806.97,2528.49,825.36,2528.01,843.9,2552.4,849.54,50.60752868652344,-7.22674560546875,5.546562194824219
134,7.0,2469.0,703.0,2652.0,906.0,2528.51,799.33,2560.35,807.46,2528.62,825.79,2528.18,844.48,2552.41,850.08,50.72930908203125,-7.46942138671875,5.923851013183594
135,7.0,2469.0,703.0,2652.0,906.0,2528.47,799.44,2560.1,807.56,2528.42,825.84,2528.16,844.7,2552.08,850.28,50.71038818359375,-7.582893371582031,5.714653015136719
136,7.0,2469.0,703.0,2652.0,906.0,2528.45,799.85,2559.86,807.76,2528.49,826.17,2528.38,844.98,2552.21,850.4,49.59552001953125,-7.7717437744140625,5.8097991943359375
137,7.0,2469.0,704.0,2652.0,906.0,2528.38,799.93,2559.65,808.15,2528.17,826.56,2528.28,845.13,2551.92,850.77,48.26516723632813,-6.7781829833984375,6.9884490966796875
138,8.0,2468.0,704.0,2652.0,907.0,2528.32,800.33,2559.79,808.53,2528.36,826.88,2528.15,845.76,2551.67,851.39,47.65641784667969,-6.7340087890625,6.4525604248046875
139,8.0,2468.0,704.0,2652.0,907.0,2528.2,800.63,2559.68,808.67,2528.28,827.03,2528.16,845.96,2551.73,851.47,49.087890625,-7.030120849609375,5.663108825683594
140,7.0,2469.0,704.0,2652.0,907.0,2528.49,800.87,2559.59,808.81,2528.45,827.17,2528.51,846.14,2551.63,851.58,48.37928771972656,-7.0847625732421875,5.497848510742188
